campaign_id,campaign_name,campaign_description,discount
C24776,Wouldn't you know it,Twee retro vinyl single-origin coffee sartorial fanny pack brunch offal health. - Raleigh Senger,0.01
C33679,Could be written on the back of a postage stamp,Fanny pack gentrify cardigan messenger bag. - Bradley Stamm,0.01
C49972,Me neither,DIY pug leggings everyday craft beer cardigan knausgaard +1 crucifix flannel. - Tremayne Nader,0.1
C61872,On the huh,Trust fund pinterest chambray. - Claude Aufderhar,0.05
C03110,Stick a fork in it,YOLO tumblr Yuccie austin. - Jordi Kunde,0.01
C46302,You must be new here,Craft beer XOXO hella tacos chillwave cred organic letterpress disrupt artisan. - Rodrick Lebsack,0.01
C11190,Mind your own beeswax,Street shoreditch viral before they sold out yr ramps skateboard skateboard bitters pabst. - Brendan Miller,0.1
C53595,How do I get to the train station,Craft beer venmo lomo fixie readymade marfa. - Benny Bogan,0.2
C29983,Would it hurt,Vegan migas ramps keytar wolf cray kickstarter five dollar toast. - Adeline Brakus,0.01
C52447,Pound for pound,Semiotics biodiesel everyday craft beer etsy semiotics keffiyeh meditation single-origin coffee. - Bernadette Pollich,0.01
